time,x-acceleration,y-acceleration,z-acceleration,output
0,0.962,0.169,0.187,guitar
0.02,0.967,0.167,0.187,guitar
0.04,0.967,0.162,0.189,guitar
0.06,0.964,0.157,0.188,guitar
0.08,0.963,0.147,0.192,guitar
0.1,0.979,0.143,0.202,guitar
0.12,0.997,0.146,0.208,guitar
0.14,0.997,0.143,0.213,guitar
0.16,0.982,0.136,0.221,guitar
0.18,0.99,0.147,0.23,guitar
0.2,1.013,0.168,0.222,guitar
0.22,1.003,0.176,0.208,guitar
0.24,0.962,0.181,0.205,guitar
0.26,0.919,0.189,0.191,guitar
0.28,0.892,0.178,0.17,guitar
0.3,0.932,0.163,0.185,guitar
0.32,0.97,0.168,0.202,guitar
0.34,0.968,0.148,0.217,guitar
0.36,0.958,0.147,0.23,guitar
0.38,0.939,0.148,0.238,guitar
0.4,0.946,0.154,0.244,guitar
0.42,0.971,0.156,0.251,guitar
0.44,0.986,0.153,0.246,guitar
0.46,0.992,0.148,0.237,guitar
0.48,0.997,0.141,0.237,guitar
0.5,0.99,0.135,0.251,guitar
0.52,0.971,0.129,0.251,guitar
0.54,0.96,0.129,0.242,guitar
0.56,0.962,0.131,0.235,guitar
0.58,0.964,0.123,0.23,guitar
0.6,0.958,0.119,0.232,guitar
0.62,0.959,0.124,0.23,guitar
0.64,0.969,0.135,0.221,guitar
0.66,0.963,0.141,0.22,guitar
0.68,0.95,0.149,0.228,guitar
0.7,0.951,0.157,0.237,guitar
0.72,0.95,0.163,0.247,guitar
0.74,0.947,0.164,0.267,guitar
0.76,0.952,0.16,0.282,guitar
0.78,0.963,0.154,0.301,guitar
0.8,0.989,0.143,0.327,guitar
0.82,0.998,0.11,0.386,guitar
0.84,0.993,0.098,0.474,guitar
0.86,1.158,0.125,0.578,guitar
0.88,1.409,0.185,0.674,guitar
0.9,1.539,0.314,0.817,guitar
0.92,1.739,0.411,0.907,guitar
0.94,1.986,0.426,0.938,guitar
0.96,1.676,0.462,0.825,guitar
0.98,0.97,0.487,0.589,guitar
1,0.435,0.365,0.417,guitar
1.02,0.319,0.123,0.363,guitar
1.04,0.426,-0.022,0.18,guitar
1.06,0.325,-0.147,-0.097,guitar
1.08,0.333,-0.218,-0.317,guitar
1.1,0.196,-0.283,-0.537,guitar
1.12,-0.095,-0.395,-0.681,guitar
1.14,-0.172,-0.403,-0.647,guitar
1.16,-0.204,-0.299,-0.565,guitar
1.18,-0.181,-0.132,-0.461,guitar
1.2,0.065,-0.015,-0.303,guitar
1.22,0.442,0.162,-0.092,guitar
1.24,0.756,0.29,0.067,guitar
1.26,1.272,0.268,0.116,guitar
1.28,1.967,0.065,-0.1,guitar
1.3,2,-0.252,-0.896,guitar
1.32,1.923,-0.733,-1.911,guitar
1.34,1.869,-0.68,-1.375,guitar
1.36,1.444,0.119,-0.394,guitar
1.38,-1.688,-0.012,0.296,guitar
1.4,-1.771,-0.034,1.751,guitar
1.42,1.757,0.909,2,guitar
1.44,2,0.744,1.576,guitar
1.46,0.926,0.017,0.845,guitar
1.48,0.703,0,0.682,guitar
1.5,0.867,0.28,0.762,guitar
1.52,0.862,0.189,0.728,guitar
1.54,0.88,0.028,0.615,guitar
