time,x-acceleration,y-acceleration,z-acceleration,output
0,0.986,0.127,-0.124,guitar
0.02,0.997,0.129,-0.117,guitar
0.04,1.013,0.134,-0.112,guitar
0.06,1.012,0.137,-0.112,guitar
0.08,0.983,0.139,-0.108,guitar
0.1,0.956,0.141,-0.101,guitar
0.12,0.961,0.137,-0.101,guitar
0.14,0.973,0.134,-0.102,guitar
0.16,0.986,0.124,-0.101,guitar
0.18,1.002,0.116,-0.108,guitar
0.2,1.002,0.111,-0.101,guitar
0.22,1.006,0.11,-0.089,guitar
0.24,1.011,0.11,-0.089,guitar
0.26,1.021,0.105,-0.082,guitar
0.28,1.038,0.103,-0.08,guitar
0.3,1.042,0.093,-0.101,guitar
0.32,1.041,0.089,-0.101,guitar
0.34,1.033,0.099,-0.089,guitar
0.36,1.018,0.109,-0.083,guitar
0.38,0.991,0.116,-0.068,guitar
0.4,0.967,0.127,-0.054,guitar
0.42,0.981,0.124,-0.037,guitar
0.44,0.99,0.125,-0.026,guitar
0.46,1.036,0.122,-0.004,guitar
0.48,1.092,0.118,0.042,guitar
0.5,1.258,0.117,0.122,guitar
0.52,1.54,0.105,0.244,guitar
0.54,1.827,0.126,0.375,guitar
0.56,1.874,0.181,0.451,guitar
0.58,1.688,0.077,0.455,guitar
0.6,1.401,0.15,0.371,guitar
0.62,0.835,0.301,0.294,guitar
0.64,0.371,0.139,0.319,guitar
0.66,0.288,0.067,0.329,guitar
0.68,0.346,0.002,0.245,guitar
0.7,0.342,-0.08,0.081,guitar
0.72,0.296,-0.156,-0.215,guitar
0.74,0.03,-0.222,-0.643,guitar
0.76,-0.423,-0.333,-1.029,guitar
0.78,-0.661,-0.49,-1.18,guitar
0.8,-0.58,-0.29,-0.924,guitar
0.82,0.231,0.602,-0.702,guitar
0.84,1.952,0.538,-0.309,guitar
0.86,2,0.659,-0.198,guitar
0.88,1.955,0.014,-1.1,guitar
0.9,1.622,-1.326,-2,guitar
0.92,0.495,-1.249,-1.739,guitar
0.94,-1.153,1.085,0.407,guitar
0.96,-0.266,0.736,2,guitar
0.98,1.481,0.147,1.903,guitar
1,0.391,-0.013,0.884,guitar
1.02,1.495,0.088,0.58,guitar
1.04,1.193,0.231,0.43,guitar
1.06,0.54,0.134,0.384,guitar
1.08,0.252,0.113,0.559,guitar
1.1,0.195,0.137,0.765,guitar
1.12,0.402,0.159,0.841,guitar
1.14,0.585,0.165,0.762,guitar
1.16,0.715,0.18,0.687,guitar
