time,x-acceleration,y-acceleration,z-acceleration,output
0,0.341,-0.005,0.93,piano
0.02,0.344,-0.002,0.938,piano
0.04,0.342,0.007,0.943,piano
0.06,0.343,0.012,0.948,piano
0.08,0.339,0.018,0.948,piano
0.1,0.338,0.012,0.94,piano
0.12,0.345,0.009,0.942,piano
0.14,0.36,0.017,0.956,piano
0.16,0.36,0.022,0.964,piano
0.18,0.347,0.017,0.948,piano
0.2,0.347,0.005,0.93,piano
0.22,0.353,0.005,0.939,piano
0.24,0.358,0.004,0.952,piano
0.26,0.357,0.006,0.973,piano
0.28,0.344,0.013,0.978,piano
0.3,0.331,0.002,0.96,piano
0.32,0.332,-0.005,0.941,piano
0.34,0.337,-0.014,0.933,piano
0.36,0.34,-0.019,0.932,piano
0.38,0.342,-0.019,0.931,piano
0.4,0.34,-0.018,0.928,piano
0.42,0.341,-0.008,0.938,piano
0.44,0.337,0.002,0.951,piano
0.46,0.336,0.008,0.959,piano
0.48,0.337,0.012,0.965,piano
0.5,0.333,0.013,0.963,piano
0.52,0.332,0.005,0.951,piano
0.54,0.331,-0.001,0.941,piano
0.56,0.34,-0.004,0.942,piano
0.58,0.346,-0.003,0.946,piano
0.6,0.354,0.003,0.954,piano
0.62,0.349,0.009,0.957,piano
0.64,0.348,0.008,0.955,piano
0.66,0.338,0.008,0.952,piano
0.68,0.328,0.01,0.951,piano
0.7,0.323,0.013,0.949,piano
0.72,0.323,0.009,0.945,piano
0.74,0.33,0.007,0.945,piano
0.76,0.333,0.003,0.94,piano
0.78,0.336,-0.003,0.939,piano
0.8,0.338,-0.007,0.936,piano
0.82,0.346,-0.007,0.938,piano
0.84,0.338,-0.012,0.943,piano
0.86,0.34,-0.014,0.948,piano
0.88,0.339,-0.013,0.947,piano
0.9,0.343,-0.009,0.943,piano
0.92,0.341,-0.003,0.948,piano
0.94,0.334,0.002,0.952,piano
0.96,0.33,0.009,0.958,piano
0.98,0.337,0.003,0.957,piano
1,0.337,-0.013,0.953,piano
1.02,0.331,-0.018,0.951,piano
