time,x-acceleration,y-acceleration,z-acceleration,output
0,0.721,0.42,0.559,drum
0.02,0.716,0.417,0.553,drum
0.04,0.722,0.413,0.552,drum
0.06,0.731,0.413,0.554,drum
0.08,0.732,0.41,0.555,drum
0.1,0.738,0.414,0.558,drum
0.12,0.732,0.415,0.557,drum
0.14,0.723,0.413,0.552,drum
0.16,0.714,0.408,0.552,drum
0.18,0.715,0.406,0.552,drum
0.2,0.715,0.407,0.553,drum
0.22,0.717,0.406,0.561,drum
0.24,0.712,0.402,0.567,drum
0.26,0.711,0.4,0.566,drum
0.28,0.714,0.402,0.564,drum
0.3,0.718,0.406,0.571,drum
0.32,0.72,0.406,0.582,drum
0.34,0.727,0.401,0.577,drum
0.36,0.742,0.397,0.562,drum
0.38,0.753,0.384,0.557,drum
0.4,0.756,0.378,0.572,drum
0.42,0.755,0.385,0.592,drum
0.44,0.736,0.402,0.619,drum
0.46,0.725,0.408,0.622,drum
0.48,0.745,0.4,0.613,drum
0.5,0.731,0.403,0.639,drum
0.52,0.715,0.42,0.672,drum
0.54,0.835,0.452,0.707,drum
0.56,1.026,0.485,0.79,drum
0.58,0.955,0.471,0.807,drum
0.6,0.858,0.417,0.829,drum
0.62,0.884,0.315,0.856,drum
0.64,1.014,0.199,0.881,drum
0.66,1.005,0.157,0.907,drum
0.68,0.94,0.122,0.934,drum
0.7,0.698,0.116,0.783,drum
0.72,0.444,0.032,0.552,drum
0.74,0.412,0.081,0.364,drum
0.76,0.361,-0.097,0.234,drum
0.78,0.312,-0.104,0.008,drum
0.8,0.261,-0.046,0.026,drum
0.82,0.409,0.042,0.22,drum
0.84,0.368,0.072,0.333,drum
0.86,0.373,0.053,0.352,drum
0.88,0.377,0.074,0.381,drum
0.9,0.509,0.13,0.506,drum
0.92,0.958,0.209,0.784,drum
0.94,1.381,0.325,1.317,drum
0.96,0.941,0.221,1.103,drum
0.98,-0.106,-0.047,0.055,drum
1,0.617,0.574,-0.209,drum
1.02,-0.323,0.442,0.219,drum
1.04,2,1.362,2,drum
1.06,0.654,-0.08,0.879,drum
1.08,0.702,0.156,0.818,drum
1.1,0.456,0.357,0.674,drum
1.12,0.607,0.244,0.509,drum
1.14,0.772,0.334,0.516,drum
1.16,0.689,0.297,0.591,drum
1.18,0.622,0.315,0.628,drum
1.2,0.627,0.347,0.598,drum
1.22,0.671,0.362,0.579,drum
1.24,0.707,0.394,0.588,drum
1.26,0.715,0.401,0.609,drum
1.28,0.705,0.406,0.62,drum
1.3,0.695,0.41,0.603,drum
1.32,0.73,0.427,0.603,drum
1.34,0.716,0.429,0.601,drum
1.36,0.714,0.434,0.606,drum
1.38,0.71,0.435,0.612,drum
1.4,0.695,0.435,0.613,drum
1.42,0.686,0.434,0.6,drum
1.44,0.679,0.435,0.58,drum
1.46,0.672,0.432,0.564,drum
1.48,0.671,0.424,0.559,drum
1.5,0.681,0.42,0.561,drum
1.52,0.688,0.42,0.57,drum
1.54,0.693,0.43,0.589,drum
1.56,0.699,0.44,0.618,drum
1.58,0.698,0.437,0.638,drum
1.6,0.691,0.426,0.63,drum
1.62,0.688,0.415,0.613,drum
1.64,0.689,0.411,0.596,drum
1.66,0.687,0.405,0.58,drum
1.68,0.687,0.402,0.569,drum
1.7,0.688,0.398,0.561,drum
1.72,0.696,0.401,0.558,drum
1.74,0.703,0.403,0.56,drum
1.76,0.703,0.406,0.568,drum
1.78,0.712,0.407,0.579,drum
1.8,0.731,0.42,0.594,drum
1.82,0.742,0.435,0.602,drum
1.84,0.743,0.441,0.613,drum
1.86,0.737,0.443,0.619,drum
1.88,0.731,0.44,0.607,drum
1.9,0.729,0.428,0.592,drum
1.92,0.709,0.414,0.573,drum
1.94,0.704,0.398,0.571,drum
1.96,0.722,0.386,0.578,drum
1.98,0.735,0.39,0.584,drum
2,0.735,0.377,0.586,drum
2.02,0.728,0.356,0.575,drum
2.04,0.713,0.345,0.577,drum
2.06,0.703,0.35,0.588,drum
2.08,0.708,0.353,0.596,drum
2.1,0.714,0.352,0.59,drum
2.12,0.725,0.373,0.618,drum
2.14,0.71,0.365,0.589,drum
2.16,0.717,0.359,0.589,drum
2.18,0.704,0.353,0.583,drum
2.2,0.704,0.349,0.584,drum
2.22,0.711,0.325,0.596,drum
2.24,0.715,0.3,0.61,drum
2.26,0.738,0.272,0.621,drum
2.28,0.744,0.243,0.643,drum
2.3,0.763,0.236,0.717,drum
2.32,0.777,0.245,0.742,drum
2.34,0.787,0.233,0.691,drum
2.36,0.81,0.247,0.611,drum
2.38,0.829,0.312,0.509,drum
2.4,0.862,0.392,0.471,drum
2.42,0.831,0.442,0.573,drum
2.44,0.809,0.454,0.699,drum
2.46,0.806,0.427,0.766,drum
2.48,0.816,0.392,0.796,drum
2.5,0.801,0.331,0.798,drum
2.52,0.712,0.274,0.764,drum
2.54,0.676,0.265,0.706,drum
2.56,0.53,0.247,0.605,drum
2.58,0.427,0.183,0.509,drum
2.6,0.483,0.152,0.452,drum
2.62,0.575,0.154,0.454,drum
2.64,0.612,0.153,0.497,drum
2.66,0.605,0.15,0.527,drum
2.68,0.579,0.152,0.558,drum
2.7,0.612,0.182,0.592,drum
2.72,0.727,0.188,0.609,drum
2.74,0.841,0.192,0.649,drum
2.76,0.854,0.184,0.699,drum
2.78,0.793,0.184,0.678,drum
2.8,0.658,0.166,0.519,drum
2.82,0.627,0.215,0.383,drum
2.84,0.812,0.378,0.477,drum
2.86,1.302,0.676,1.026,drum
2.88,-0.527,-0.213,0.149,drum
2.9,0.378,0.582,0.675,drum
2.92,1.742,0.484,1.304,drum
2.94,1.416,0.254,0.831,drum
2.96,0.776,0.138,0.519,drum
2.98,0.529,0.178,0.536,drum
3,0.605,0.236,0.588,drum
3.02,0.563,0.23,0.542,drum
3.04,0.675,0.266,0.57,drum
3.06,0.746,0.304,0.586,drum
3.08,0.762,0.327,0.591,drum
3.1,0.747,0.344,0.615,drum
3.12,0.713,0.359,0.631,drum
3.14,0.693,0.359,0.62,drum
3.16,0.695,0.347,0.606,drum
3.18,0.698,0.345,0.596,drum
3.2,0.704,0.348,0.588,drum
3.22,0.71,0.353,0.585,drum
3.24,0.729,0.359,0.594,drum
3.26,0.737,0.358,0.601,drum
3.28,0.743,0.359,0.605,drum
3.3,0.752,0.361,0.616,drum
3.32,0.751,0.362,0.611,drum
3.34,0.754,0.371,0.618,drum
3.36,0.752,0.378,0.623,drum
3.38,0.746,0.379,0.62,drum
3.4,0.731,0.372,0.61,drum
3.42,0.721,0.363,0.602,drum
3.44,0.716,0.353,0.588,drum
3.46,0.718,0.338,0.577,drum
3.48,0.712,0.333,0.571,drum
3.5,0.712,0.328,0.572,drum
3.52,0.722,0.331,0.584,drum
3.54,0.736,0.341,0.598,drum
3.56,0.741,0.359,0.603,drum
3.58,0.731,0.372,0.602,drum
3.6,0.717,0.367,0.594,drum
3.62,0.701,0.363,0.593,drum
3.64,0.691,0.362,0.592,drum
3.66,0.693,0.369,0.593,drum
3.68,0.695,0.374,0.595,drum
3.7,0.696,0.377,0.598,drum
3.72,0.695,0.379,0.604,drum
3.74,0.694,0.375,0.605,drum
3.76,0.713,0.376,0.608,drum
3.78,0.727,0.382,0.614,drum
3.8,0.724,0.376,0.614,drum
3.82,0.717,0.37,0.603,drum
3.84,0.728,0.366,0.59,drum
3.86,0.742,0.361,0.587,drum
3.88,0.755,0.348,0.575,drum
3.9,0.752,0.341,0.571,drum
3.92,0.731,0.33,0.574,drum
3.94,0.713,0.326,0.578,drum
3.96,0.7,0.326,0.575,drum
3.98,0.702,0.34,0.576,drum
4,0.723,0.359,0.589,drum
4.02,0.728,0.367,0.6,drum
4.04,0.708,0.367,0.596,drum
4.06,0.722,0.365,0.59,drum
4.08,0.745,0.365,0.587,drum
4.1,0.762,0.375,0.593,drum
4.12,0.782,0.377,0.613,drum
4.14,0.771,0.362,0.613,drum
4.16,0.794,0.349,0.605,drum
4.18,0.794,0.317,0.598,drum
4.2,0.827,0.283,0.611,drum
4.22,0.792,0.259,0.62,drum
4.24,0.735,0.301,0.648,drum
4.26,0.693,0.33,0.622,drum
4.28,0.744,0.35,0.638,drum
4.3,0.754,0.348,0.672,drum
4.32,0.695,0.366,0.722,drum
4.34,0.635,0.338,0.841,drum
4.36,0.656,0.289,0.883,drum
4.38,0.74,0.208,0.866,drum
4.4,0.801,0.126,0.843,drum
4.42,0.731,0.148,0.812,drum
4.44,0.637,0.14,0.735,drum
4.46,0.56,0.108,0.592,drum
4.48,0.487,0.09,0.506,drum
4.5,0.458,0.077,0.49,drum
4.52,0.515,0.101,0.528,drum
4.54,0.6,0.108,0.539,drum
4.56,0.62,0.115,0.549,drum
4.58,0.655,0.133,0.595,drum
4.6,0.684,0.136,0.662,drum
4.62,0.798,0.164,0.739,drum
4.64,0.963,0.177,0.817,drum
4.66,0.916,0.122,0.86,drum
4.68,0.587,0.059,0.619,drum
4.7,0.541,0.11,0.3,drum
4.72,1.035,0.665,0.492,drum
4.74,0,0.065,0.109,drum
4.76,-0.416,0.429,0.298,drum
4.78,1.77,0.574,1.583,drum
4.8,1.555,0.309,1.273,drum
4.82,0.61,0.068,0.606,drum
4.84,0.427,0.12,0.456,drum
4.86,0.576,0.216,0.514,drum
4.88,0.707,0.235,0.613,drum
4.9,0.659,0.209,0.578,drum
4.92,0.629,0.289,0.534,drum
4.94,0.732,0.338,0.583,drum
4.96,0.777,0.337,0.627,drum
4.98,0.735,0.353,0.662,drum
5,0.68,0.362,0.676,drum
5.02,0.674,0.35,0.681,drum
5.04,0.675,0.333,0.664,drum
5.06,0.696,0.327,0.65,drum
5.08,0.717,0.33,0.662,drum
5.1,0.698,0.337,0.667,drum
5.12,0.694,0.338,0.674,drum
5.14,0.705,0.342,0.668,drum
5.16,0.721,0.353,0.657,drum
5.18,0.718,0.355,0.653,drum
