time,x-acceleration,y-acceleration,z-acceleration,output
0,0.637,0.34,0.676,drum
0.02,0.638,0.343,0.681,drum
0.04,0.645,0.345,0.688,drum
0.06,0.641,0.35,0.696,drum
0.08,0.638,0.351,0.697,drum
0.1,0.634,0.345,0.69,drum
0.12,0.642,0.338,0.683,drum
0.14,0.636,0.338,0.682,drum
0.16,0.63,0.344,0.684,drum
0.18,0.639,0.352,0.684,drum
0.2,0.642,0.359,0.686,drum
0.22,0.641,0.363,0.692,drum
0.24,0.635,0.356,0.696,drum
0.26,0.631,0.351,0.689,drum
0.28,0.639,0.343,0.688,drum
0.3,0.647,0.337,0.691,drum
0.32,0.645,0.333,0.696,drum
0.34,0.646,0.338,0.699,drum
0.36,0.645,0.34,0.698,drum
0.38,0.642,0.34,0.698,drum
0.4,0.641,0.334,0.697,drum
0.42,0.649,0.341,0.7,drum
0.44,0.65,0.347,0.697,drum
0.46,0.637,0.349,0.691,drum
0.48,0.634,0.347,0.691,drum
0.5,0.64,0.34,0.687,drum
0.52,0.64,0.331,0.689,drum
0.54,0.638,0.327,0.693,drum
0.56,0.643,0.317,0.688,drum
0.58,0.66,0.318,0.69,drum
0.6,0.654,0.327,0.696,drum
0.62,0.639,0.332,0.699,drum
0.64,0.635,0.329,0.697,drum
0.66,0.65,0.333,0.697,drum
0.68,0.652,0.337,0.702,drum
0.7,0.648,0.339,0.704,drum
0.72,0.653,0.33,0.705,drum
0.74,0.65,0.32,0.709,drum
0.76,0.643,0.314,0.713,drum
0.78,0.638,0.307,0.706,drum
0.8,0.643,0.301,0.701,drum
0.82,0.635,0.308,0.701,drum
0.84,0.634,0.32,0.709,drum
0.86,0.63,0.327,0.708,drum
0.88,0.626,0.326,0.703,drum
0.9,0.625,0.319,0.699,drum
0.92,0.628,0.323,0.701,drum
0.94,0.621,0.327,0.704,drum
0.96,0.622,0.333,0.71,drum
0.98,0.625,0.333,0.71,drum
1,0.627,0.325,0.706,drum
1.02,0.631,0.323,0.712,drum
1.04,0.622,0.324,0.714,drum
1.06,0.633,0.319,0.719,drum
1.08,0.638,0.318,0.719,drum
1.1,0.64,0.313,0.716,drum
1.12,0.643,0.307,0.716,drum
1.14,0.638,0.306,0.715,drum
1.16,0.634,0.307,0.71,drum
1.18,0.631,0.31,0.708,drum
1.2,0.627,0.309,0.703,drum
1.22,0.636,0.315,0.699,drum
1.24,0.631,0.319,0.697,drum
1.26,0.633,0.325,0.703,drum
1.28,0.623,0.327,0.706,drum
1.3,0.625,0.322,0.707,drum
1.32,0.625,0.32,0.71,drum
1.34,0.619,0.323,0.712,drum
1.36,0.621,0.321,0.71,drum
1.38,0.627,0.315,0.707,drum
1.4,0.626,0.307,0.702,drum
1.42,0.632,0.306,0.703,drum
1.44,0.646,0.319,0.704,drum
1.46,0.647,0.327,0.706,drum
1.48,0.631,0.325,0.706,drum
1.5,0.628,0.321,0.711,drum
1.52,0.638,0.319,0.717,drum
1.54,0.618,0.327,0.715,drum
1.56,0.611,0.328,0.709,drum
1.58,0.633,0.335,0.718,drum
1.6,0.636,0.336,0.721,drum
1.62,0.625,0.332,0.722,drum
1.64,0.629,0.326,0.718,drum
