time,x-acceleration,y-acceleration,z-acceleration,output
0,0.93,0.012,0.241,guitar
0.02,0.949,0.002,0.244,guitar
0.04,0.959,-0.005,0.245,guitar
0.06,0.966,-0.005,0.254,guitar
0.08,0.965,0,0.261,guitar
0.1,0.972,-0.001,0.258,guitar
0.12,0.983,-0.002,0.246,guitar
0.14,0.991,0.005,0.246,guitar
0.16,0.975,0.016,0.256,guitar
0.18,0.961,0.018,0.255,guitar
0.2,0.966,0.009,0.246,guitar
0.22,0.979,0.004,0.243,guitar
0.24,0.986,0.002,0.238,guitar
0.26,0.986,0.005,0.238,guitar
0.28,0.979,0.004,0.248,guitar
0.3,0.965,0.003,0.256,guitar
0.32,0.963,0.005,0.257,guitar
0.34,0.964,0.007,0.255,guitar
0.36,0.973,0.01,0.252,guitar
0.38,0.979,0.012,0.248,guitar
0.4,0.972,0.011,0.242,guitar
0.42,0.948,0.007,0.243,guitar
0.44,0.958,0.008,0.25,guitar
0.46,0.965,0.015,0.257,guitar
0.48,0.959,0.026,0.269,guitar
0.5,0.951,0.039,0.28,guitar
0.52,0.913,0.056,0.274,guitar
0.54,0.995,0.057,0.287,guitar
0.56,1.05,0.061,0.289,guitar
0.58,0.957,0.055,0.265,guitar
0.6,0.899,0.054,0.262,guitar
0.62,0.891,0.042,0.262,guitar
0.64,0.942,0.021,0.251,guitar
0.66,1.008,0.011,0.251,guitar
0.68,0.988,-0.001,0.256,guitar
0.7,0.945,-0.008,0.251,guitar
0.72,0.911,-0.012,0.255,guitar
0.74,0.94,-0.004,0.264,guitar
0.76,0.977,0.004,0.272,guitar
0.78,0.998,0.008,0.288,guitar
0.8,0.982,0.008,0.305,guitar
0.82,0.95,0.012,0.302,guitar
0.84,0.952,0.014,0.283,guitar
0.86,0.972,0.016,0.273,guitar
0.88,0.981,0.013,0.257,guitar
0.9,0.964,0.005,0.228,guitar
0.92,0.937,0.002,0.239,guitar
0.94,0.95,0,0.268,guitar
0.96,0.981,-0.002,0.306,guitar
0.98,1.052,0.001,0.338,guitar
1,1.111,-0.014,0.336,guitar
1.02,1.179,-0.018,0.417,guitar
1.04,1.242,0.024,0.615,guitar
1.06,1.241,0.075,0.725,guitar
1.08,1.106,0.136,0.648,guitar
1.1,1.087,0.097,0.498,guitar
1.12,1.191,0.006,0.382,guitar
1.14,1.109,-0.031,0.265,guitar
1.16,1.019,-0.136,0.025,guitar
1.18,0.949,-0.221,-0.165,guitar
1.2,0.59,-0.304,-0.221,guitar
1.22,0.435,-0.369,-0.307,guitar
1.24,0.583,-0.366,-0.345,guitar
1.26,0.433,-0.354,-0.341,guitar
1.28,0.389,-0.337,-0.302,guitar
1.3,0.337,-0.304,-0.243,guitar
1.32,0.219,-0.267,-0.172,guitar
1.34,0.191,-0.225,-0.088,guitar
1.36,0.189,-0.159,-0.1,guitar
1.38,0.223,-0.057,-0.186,guitar
1.4,0.555,0.072,-0.176,guitar
1.42,1.638,0.126,0.198,guitar
1.44,2,-0.013,0.254,guitar
1.46,1.92,-0.43,-1.07,guitar
1.48,0.638,-0.717,-1.351,guitar
1.5,0.931,0.045,0.103,guitar
1.52,-1.277,-0.294,0.823,guitar
1.54,0.057,0.406,1.632,guitar
1.56,1.522,0.453,1.237,guitar
1.58,1.514,0.013,0.546,guitar
1.6,1.226,-0.109,0.204,guitar
1.62,1.213,0.007,0.2,guitar
1.64,1.031,0.095,0.296,guitar
1.66,0.735,0.079,0.401,guitar
1.68,0.591,0.064,0.468,guitar
1.7,0.638,0.07,0.505,guitar
