time,x-acceleration,y-acceleration,z-acceleration,output
0,0.644,0.296,0.695,piano
0.02,0.647,0.299,0.705,piano
0.04,0.646,0.297,0.701,piano
0.06,0.651,0.297,0.698,piano
0.08,0.651,0.296,0.701,piano
0.1,0.649,0.304,0.706,piano
0.12,0.649,0.304,0.707,piano
0.14,0.648,0.301,0.707,piano
0.16,0.641,0.304,0.71,piano
0.18,0.638,0.305,0.705,piano
0.2,0.629,0.297,0.701,piano
0.22,0.635,0.295,0.699,piano
0.24,0.651,0.3,0.695,piano
0.26,0.669,0.303,0.692,piano
0.28,0.666,0.299,0.692,piano
0.3,0.659,0.292,0.694,piano
0.32,0.651,0.294,0.692,piano
0.34,0.65,0.297,0.689,piano
0.36,0.654,0.295,0.699,piano
0.38,0.659,0.295,0.705,piano
0.4,0.662,0.294,0.705,piano
0.42,0.655,0.292,0.707,piano
0.44,0.645,0.291,0.711,piano
0.46,0.648,0.288,0.705,piano
0.48,0.666,0.284,0.697,piano
0.5,0.674,0.282,0.693,piano
0.52,0.663,0.276,0.692,piano
0.54,0.672,0.269,0.708,piano
0.56,0.677,0.279,0.714,piano
0.58,0.668,0.274,0.701,piano
0.6,0.665,0.265,0.692,piano
0.62,0.671,0.266,0.699,piano
0.64,0.67,0.269,0.709,piano
0.66,0.677,0.271,0.724,piano
0.68,0.671,0.276,0.721,piano
0.7,0.66,0.273,0.708,piano
0.72,0.65,0.278,0.695,piano
0.74,0.643,0.284,0.691,piano
0.76,0.648,0.287,0.695,piano
0.78,0.652,0.287,0.711,piano
0.8,0.65,0.282,0.72,piano
0.82,0.643,0.282,0.72,piano
0.84,0.638,0.279,0.719,piano
0.86,0.633,0.275,0.728,piano
0.88,0.62,0.272,0.736,piano
0.9,0.613,0.269,0.737,piano
0.92,0.611,0.273,0.743,piano
0.94,0.623,0.277,0.753,piano
0.96,0.628,0.275,0.743,piano
0.98,0.628,0.269,0.721,piano
1,0.631,0.272,0.718,piano
1.02,0.634,0.279,0.735,piano
1.04,0.621,0.274,0.74,piano
1.06,0.615,0.267,0.746,piano
1.08,0.627,0.267,0.766,piano
1.1,0.614,0.258,0.764,piano
1.12,0.608,0.248,0.747,piano
1.14,0.614,0.253,0.755,piano
1.16,0.609,0.25,0.755,piano
1.18,0.615,0.247,0.742,piano
1.2,0.612,0.253,0.738,piano
1.22,0.614,0.258,0.739,piano
1.24,0.601,0.261,0.727,piano
1.26,0.591,0.261,0.719,piano
1.28,0.585,0.263,0.725,piano
1.3,0.586,0.267,0.736,piano
1.32,0.59,0.27,0.752,piano
1.34,0.589,0.269,0.751,piano
1.36,0.589,0.264,0.746,piano
1.38,0.59,0.27,0.744,piano
1.4,0.593,0.269,0.745,piano
1.42,0.595,0.267,0.747,piano
1.44,0.591,0.264,0.751,piano
1.46,0.599,0.263,0.757,piano
1.48,0.599,0.266,0.755,piano
1.5,0.595,0.267,0.752,piano
1.52,0.594,0.263,0.744,piano
1.54,0.595,0.265,0.739,piano
1.56,0.601,0.271,0.741,piano
1.58,0.611,0.278,0.751,piano
1.6,0.616,0.28,0.76,piano
1.62,0.612,0.274,0.765,piano
1.64,0.617,0.27,0.769,piano
1.66,0.616,0.267,0.769,piano
1.68,0.617,0.263,0.76,piano
1.7,0.62,0.262,0.752,piano
1.72,0.627,0.266,0.749,piano
1.74,0.63,0.265,0.749,piano
1.76,0.624,0.262,0.745,piano
1.78,0.621,0.265,0.743,piano
1.8,0.621,0.269,0.746,piano
1.82,0.618,0.275,0.749,piano
1.84,0.611,0.271,0.739,piano
1.86,0.605,0.271,0.728,piano
1.88,0.608,0.274,0.722,piano
1.9,0.615,0.276,0.726,piano
1.92,0.625,0.284,0.737,piano
1.94,0.623,0.281,0.738,piano
1.96,0.618,0.274,0.735,piano
1.98,0.618,0.271,0.735,piano
2,0.615,0.269,0.737,piano
2.02,0.614,0.269,0.739,piano
2.04,0.623,0.268,0.743,piano
2.06,0.626,0.268,0.744,piano
2.08,0.626,0.264,0.74,piano
2.1,0.631,0.261,0.741,piano
2.12,0.63,0.264,0.742,piano
2.14,0.619,0.268,0.737,piano
2.16,0.618,0.273,0.737,piano
2.18,0.613,0.279,0.735,piano
2.2,0.617,0.279,0.735,piano
2.22,0.622,0.267,0.732,piano
2.24,0.627,0.263,0.735,piano
2.26,0.626,0.263,0.743,piano
2.28,0.627,0.268,0.746,piano
2.3,0.627,0.272,0.741,piano
2.32,0.615,0.271,0.732,piano
2.34,0.614,0.266,0.724,piano
2.36,0.624,0.265,0.736,piano
2.38,0.625,0.274,0.741,piano
2.4,0.615,0.277,0.742,piano
2.42,0.612,0.278,0.748,piano
2.44,0.6,0.274,0.744,piano
2.46,0.602,0.263,0.742,piano
2.48,0.654,0.26,0.756,piano
2.5,0.685,0.257,0.765,piano
2.52,0.697,0.244,0.762,piano
2.54,0.686,0.235,0.781,piano
2.56,0.685,0.228,0.838,piano
2.58,0.683,0.223,0.904,piano
2.6,0.742,0.216,1.033,piano
2.62,0.825,0.27,1.178,piano
2.64,0.798,0.338,1.225,piano
2.66,0.825,0.373,1.153,piano
2.68,0.885,0.45,1.06,piano
2.7,0.842,0.485,0.934,piano
2.72,0.856,0.504,0.779,piano
2.74,0.601,0.39,0.542,piano
2.76,0.377,0.308,0.237,piano
2.78,0.232,0.177,-0.176,piano
2.8,0.211,0.016,-0.393,piano
2.82,0.286,-0.114,-0.245,piano
2.84,0.189,-0.147,-0.154,piano
2.86,0.119,-0.22,-0.092,piano
2.88,-0.12,-0.116,-0.088,piano
2.9,0.132,0.058,-0.244,piano
2.92,1.718,1.182,1.039,piano
2.94,0.329,0.929,2,piano
2.96,-0.488,-0.379,1.95,piano
2.98,-0.073,-0.088,1.043,piano
3,0.385,0.074,0.424,piano
3.02,0.618,0.198,0.389,piano
3.04,0.718,0.253,0.626,piano
3.06,0.574,0.311,0.899,piano
3.08,0.347,0.31,1.015,piano
3.1,0.338,0.244,0.973,piano
3.12,0.49,0.19,0.86,piano
3.14,0.598,0.166,0.75,piano
3.16,0.697,0.194,0.727,piano
