time,x-acceleration,y-acceleration,z-acceleration,output
0,0.722,0.524,0.724,unknown
0.02,1.008,0.742,1.027,unknown
0.04,1.116,0.684,1.313,unknown
0.06,0.952,0.399,0.961,unknown
0.08,0.493,0.397,0.749,unknown
0.1,0.42,0.578,0.839,unknown
0.12,0.435,0.501,0.802,unknown
0.14,0.33,0.412,0.748,unknown
0.16,0.335,0.326,0.758,unknown
0.18,0.362,0.312,0.802,unknown
0.2,0.29,0.288,0.789,unknown
0.22,0.365,0.135,0.648,unknown
0.24,0.556,-0.104,0.432,unknown
0.26,0.663,-0.241,0.153,unknown
0.28,0.734,-0.36,-0.097,unknown
0.3,0.829,-0.363,-0.287,unknown
0.32,0.813,-0.282,-0.357,unknown
0.34,0.628,-0.383,-0.405,unknown
0.36,0.736,-0.928,-0.816,unknown
0.38,1.105,-1.213,-0.871,unknown
0.4,1.291,-0.87,-1.106,unknown
0.42,1.298,-0.748,-0.843,unknown
0.44,1.274,-0.834,-0.696,unknown
0.46,0.861,-0.817,-0.584,unknown
0.48,0.346,-0.728,-0.382,unknown
0.5,0.041,-0.642,-0.28,unknown
0.52,-0.021,-0.153,0.024,unknown
0.54,0.16,-0.092,-0.253,unknown
0.56,0.252,-0.732,-0.481,unknown
0.58,0.664,-0.864,-0.26,unknown
0.6,0.924,-0.569,-0.359,unknown
0.62,0.711,-0.335,-0.605,unknown
0.64,0.318,-0.23,-0.379,unknown
0.66,-0.09,-0.314,0.005,unknown
0.68,-0.031,-0.039,-0.132,unknown
0.7,0.129,0.196,-0.265,unknown
0.72,0.051,0.001,-0.09,unknown
0.74,-0.234,0.233,0.039,unknown
0.76,-0.905,1.187,-0.548,unknown
0.78,-1.523,2,-0.702,unknown
0.8,0.228,1.317,-0.392,unknown
0.82,2,0.602,0.226,unknown
0.84,1.993,-0.322,1.903,unknown
0.86,0.439,-0.1,1.238,unknown
0.88,0.656,-0.119,0.993,unknown
0.9,0.923,0.068,0.883,unknown
0.92,1.216,-0.175,1.08,unknown
0.94,1.782,-0.631,1.912,unknown
0.96,1.693,-0.892,1.468,unknown
0.98,1.674,-0.996,1.428,unknown
1,1.423,-0.19,1.138,unknown
1.02,0.526,0.24,0.737,unknown
1.04,0.223,0.21,0.705,unknown
1.06,0.418,0.19,0.74,unknown
1.08,0.638,0.055,0.753,unknown
1.1,0.75,-0.037,0.717,unknown
1.12,0.776,-0.049,0.679,unknown
1.14,0.726,-0.005,0.684,unknown
1.16,0.647,0.055,0.716,unknown
1.18,0.625,0.111,0.72,unknown
1.2,0.655,0.107,0.729,unknown
1.22,0.693,0.049,0.745,unknown
1.24,0.745,-0.004,0.728,unknown
1.26,0.775,-0.038,0.707,unknown
1.28,0.744,-0.063,0.705,unknown
1.3,0.734,-0.065,0.714,unknown
1.32,0.714,-0.035,0.724,unknown
1.34,0.687,-0.011,0.747,unknown
1.36,0.676,0.001,0.769,unknown
1.38,0.684,0.008,0.766,unknown
1.4,0.69,0.017,0.749,unknown
1.42,0.69,0.031,0.722,unknown
1.44,0.684,0.041,0.72,unknown
1.46,0.685,0.051,0.726,unknown
1.48,0.7,0.053,0.729,unknown
1.5,0.715,0.042,0.727,unknown
1.52,0.721,0.028,0.724,unknown
1.54,0.708,0.029,0.717,unknown
1.56,0.693,0.031,0.715,unknown
1.58,0.696,0.029,0.718,unknown
1.6,0.702,0.022,0.719,unknown
1.62,0.708,0.011,0.721,unknown
1.64,0.709,0.001,0.718,unknown
1.66,0.701,-0.001,0.716,unknown
1.68,0.701,0.003,0.722,unknown
1.7,0.708,0.006,0.722,unknown
1.72,0.708,0.004,0.72,unknown
1.74,0.703,0,0.729,unknown
1.76,0.701,0.003,0.729,unknown
1.78,0.7,0.007,0.721,unknown
1.8,0.696,0.006,0.722,unknown
1.82,0.694,0.011,0.724,unknown
1.84,0.697,0.013,0.727,unknown
1.86,0.699,0.017,0.724,unknown
1.88,0.699,0.017,0.726,unknown
1.9,0.695,0.007,0.731,unknown
1.92,0.7,0.008,0.731,unknown
1.94,0.697,0.007,0.729,unknown
1.96,0.695,0.003,0.73,unknown
1.98,0.697,0.004,0.732,unknown
2,0.699,0.003,0.725,unknown
2.02,0.699,0.001,0.722,unknown
2.04,0.697,0.004,0.723,unknown
2.06,0.698,0.008,0.724,unknown
2.08,0.697,0.008,0.734,unknown
2.1,0.701,0.012,0.74,unknown
2.12,0.703,0.015,0.737,unknown
2.14,0.702,0.016,0.734,unknown
2.16,0.698,0.025,0.722,unknown
2.18,0.683,0.033,0.714,unknown
2.2,0.653,0.042,0.704,unknown
2.22,0.626,0.054,0.714,unknown
2.24,0.671,0.119,0.736,unknown
2.26,0.542,0.158,0.693,unknown
2.28,0.437,0.11,0.639,unknown
2.3,0.467,0.064,0.595,unknown
2.32,0.502,-0.001,0.554,unknown
2.34,0.609,0.115,0.413,unknown
2.36,0.562,0.14,0.26,unknown
2.38,0.71,0.196,0.145,unknown
2.4,0.717,0.276,0.036,unknown
2.42,0.813,0.173,0.034,unknown
2.44,0.961,0.182,0.098,unknown
2.46,0.917,0.392,-0.009,unknown
2.48,0.692,0.436,-0.021,unknown
2.5,0.217,0.366,-0.072,unknown
2.52,0.399,0.652,-0.24,unknown
2.54,0.686,1.038,-0.293,unknown
2.56,0.651,0.99,-0.257,unknown
2.58,0.686,1.087,-0.192,unknown
2.6,0.809,1.319,-0.19,unknown
2.62,0.814,1.365,-0.184,unknown
2.64,0.87,1.223,-0.124,unknown
2.66,0.9,1.071,-0.09,unknown
2.68,0.826,0.948,-0.104,unknown
2.7,0.716,0.883,-0.101,unknown
2.72,0.712,0.881,-0.008,unknown
2.74,0.811,0.866,0.144,unknown
2.76,0.89,0.834,0.259,unknown
2.78,0.849,0.839,0.264,unknown
2.8,0.74,0.843,0.154,unknown
