,time,x-acceleration,y-acceleration,z-acceleration,output
0,0.0,0.0,0.0,0.0,drum
1,0.02,0.762,0.284,0.556,drum
2,0.04,0.769,0.281,0.569,drum
3,0.06,0.774,0.274,0.579,drum
4,0.08,0.766,0.276,0.584,drum
5,0.1,0.756,0.28,0.579,drum
6,0.12,0.747,0.277,0.575,drum
7,0.14,0.751,0.276,0.583,drum
8,0.16,0.772,0.27,0.587,drum
9,0.18,0.764,0.266,0.585,drum
10,0.2,0.763,0.273,0.583,drum
11,0.22,0.765,0.275,0.575,drum
12,0.24,0.765,0.278,0.575,drum
13,0.26,0.759,0.283,0.576,drum
14,0.28,0.766,0.289,0.572,drum
15,0.3,0.782,0.299,0.577,drum
16,0.32,0.789,0.291,0.587,drum
17,0.34,0.759,0.289,0.591,drum
18,0.36,0.737,0.294,0.583,drum
19,0.38,0.758,0.288,0.576,drum
20,0.4,0.784,0.287,0.586,drum
21,0.42,0.794,0.29,0.608,drum
22,0.44,0.787,0.299,0.618,drum
23,0.46,0.774,0.305,0.617,drum
24,0.48,0.754,0.305,0.599,drum
25,0.5,0.764,0.305,0.581,drum
26,0.52,0.765,0.306,0.586,drum
27,0.54,0.736,0.298,0.633,drum
28,0.56,0.711,0.277,0.683,drum
29,0.58,0.756,0.265,0.685,drum
30,0.6,0.809,0.258,0.649,drum
31,0.62,0.795,0.264,0.592,drum
32,0.64,0.77,0.286,0.557,drum
33,0.66,0.754,0.297,0.57,drum
34,0.68,0.722,0.297,0.659,drum
35,0.7,0.693,0.264,0.811,drum
36,0.72,0.733,0.215,0.862,drum
37,0.74,0.814,0.184,0.839,drum
38,0.76,1.096,0.131,0.896,drum
39,0.78,1.129,0.079,1.062,drum
40,0.8,0.861,0.128,1.143,drum
41,0.82,0.942,0.134,1.101,drum
42,0.84,0.958,0.113,1.085,drum
43,0.86,0.736,0.194,0.958,drum
44,0.88,0.766,0.259,0.767,drum
45,0.9,0.863,0.211,0.556,drum
46,0.92,0.764,0.183,0.365,drum
47,0.94,0.675,0.184,0.285,drum
48,0.96,0.626,0.172,0.218,drum
49,0.98,0.498,0.128,0.162,drum
50,1.0,0.469,0.087,0.101,drum
51,1.02,0.44,0.052,0.063,drum
52,1.04,0.423,0.057,0.09,drum
53,1.06,0.406,0.025,0.108,drum
54,1.08,0.419,0.024,0.162,drum
55,1.1,0.573,0.081,0.284,drum
56,1.12,0.636,0.117,0.424,drum
57,1.14,0.673,0.139,0.652,drum
58,1.16,0.89,0.089,0.776,drum
59,1.18,1.228,0.029,0.937,drum
60,1.2,1.371,0.031,1.219,drum
61,1.22,0.918,-0.155,0.636,drum
62,1.24,0.226,0.156,0.08,drum
63,1.26,0.336,0.613,-0.114,drum
64,1.28,0.47,0.758,0.884,drum
65,1.3,2.0,0.277,1.96,drum
66,1.32,1.007,-0.453,1.025,drum
67,1.34,-0.052,0.385,0.354,drum
68,1.36,0.718,0.432,0.36,drum
69,1.38,0.935,0.081,0.316,drum
70,1.4,0.8,0.229,0.324,drum
71,1.42,0.785,0.249,0.49,drum
72,1.44,0.718,0.19,0.497,drum
73,1.46,0.735,0.215,0.495,drum
74,1.48,0.812,0.198,0.535,drum
75,1.5,0.771,0.249,0.562,drum
76,1.52,0.668,0.273,0.538,drum
77,1.54,0.612,0.252,0.517,drum
78,1.56,0.635,0.197,0.549,drum
79,1.58,0.694,0.175,0.578,drum
80,1.6,0.753,0.194,0.593,drum
81,1.62,0.787,0.252,0.607,drum
82,1.64,0.811,0.274,0.595,drum
