time,x-acceleration,y-acceleration,z-acceleration,output
0,0.867,0.061,0.559,guitar
0.02,0.904,0.05,0.579,guitar
0.04,0.887,0.035,0.545,guitar
0.06,0.872,0.05,0.502,guitar
0.08,0.857,0.058,0.49,guitar
0.1,0.876,0.053,0.481,guitar
0.12,0.885,0.05,0.463,guitar
0.14,0.891,0.053,0.441,guitar
0.16,0.877,0.056,0.443,guitar
0.18,0.879,0.052,0.459,guitar
0.2,0.863,0.058,0.45,guitar
0.22,0.871,0.057,0.464,guitar
0.24,0.856,0.064,0.472,guitar
0.26,0.893,0.062,0.488,guitar
0.28,0.917,0.035,0.514,guitar
0.3,0.865,0.034,0.507,guitar
0.32,0.82,0.047,0.489,guitar
0.34,0.864,0.027,0.503,guitar
0.36,0.87,0.039,0.514,guitar
0.38,0.824,0.058,0.499,guitar
0.4,0.853,0.052,0.491,guitar
0.42,0.855,0.061,0.461,guitar
0.44,0.9,0.045,0.433,guitar
0.46,0.959,0.032,0.498,guitar
0.48,0.836,0.048,0.479,guitar
0.5,0.76,0.068,0.459,guitar
0.52,0.87,0.073,0.472,guitar
0.54,0.891,0.077,0.448,guitar
0.56,0.92,0.075,0.476,guitar
0.58,0.901,0.042,0.539,guitar
0.6,0.842,0.034,0.555,guitar
0.62,0.891,0.014,0.558,guitar
0.64,0.896,0.011,0.614,guitar
0.66,0.804,0.075,0.584,guitar
0.68,0.768,0.093,0.518,guitar
0.7,0.84,0.067,0.511,guitar
0.72,0.882,0.049,0.502,guitar
0.74,0.9,0.054,0.508,guitar
0.76,0.886,0.061,0.511,guitar
0.78,0.85,0.07,0.524,guitar
0.8,0.833,0.072,0.539,guitar
0.82,0.812,0.077,0.522,guitar
0.84,0.821,0.092,0.507,guitar
0.86,0.874,0.066,0.513,guitar
0.88,0.848,0.076,0.504,guitar
0.9,0.861,0.096,0.55,guitar
0.92,0.831,0.083,0.545,guitar
0.94,0.795,0.082,0.518,guitar
0.96,0.884,0.057,0.554,guitar
0.98,0.895,0.047,0.571,guitar
1,0.847,0.045,0.556,guitar
1.02,0.868,0.035,0.55,guitar
1.04,0.864,0.041,0.548,guitar
1.06,0.831,0.06,0.539,guitar
1.08,0.828,0.067,0.541,guitar
1.1,0.837,0.07,0.543,guitar
1.12,0.835,0.078,0.551,guitar
1.14,0.832,0.077,0.542,guitar
1.16,0.851,0.066,0.53,guitar
1.18,0.867,0.056,0.534,guitar
1.2,0.875,0.054,0.532,guitar
1.22,0.854,0.059,0.512,guitar
1.24,0.841,0.059,0.496,guitar
1.26,0.851,0.057,0.491,guitar
1.28,0.873,0.055,0.501,guitar
1.3,0.854,0.055,0.499,guitar
1.32,0.815,0.063,0.492,guitar
1.34,0.797,0.061,0.482,guitar
1.36,0.801,0.058,0.474,guitar
1.38,0.844,0.065,0.475,guitar
1.4,0.89,0.057,0.478,guitar
1.42,0.927,0.05,0.436,guitar
1.44,0.931,0.06,0.403,guitar
1.46,0.968,0.049,0.358,guitar
1.48,0.946,0.039,0.304,guitar
1.5,0.921,0.046,0.264,guitar
1.52,0.937,0.05,0.242,guitar
1.54,0.971,0.062,0.236,guitar
1.56,0.989,0.069,0.24,guitar
1.58,0.981,0.063,0.238,guitar
1.6,0.973,0.068,0.24,guitar
1.62,1.004,0.061,0.229,guitar
1.64,0.982,0.056,0.201,guitar
1.66,0.964,0.061,0.188,guitar
1.68,0.961,0.061,0.168,guitar
1.7,0.967,0.053,0.166,guitar
1.72,0.957,0.048,0.148,guitar
1.74,0.935,0.05,0.144,guitar
1.76,0.907,0.052,0.129,guitar
1.78,0.886,0.056,0.106,guitar
1.8,0.9,0.054,0.087,guitar
1.82,1.014,0.053,0.098,guitar
1.84,1.138,0.043,0.154,guitar
1.86,1.32,0.021,0.247,guitar
1.88,1.486,0.004,0.3,guitar
1.9,1.587,0.041,0.334,guitar
1.92,1.621,0.069,0.313,guitar
1.94,1.415,0.138,0.268,guitar
1.96,1.083,0.198,0.252,guitar
1.98,0.748,0.216,0.337,guitar
2,0.667,0.12,0.425,guitar
2.02,0.71,-0.023,0.35,guitar
2.04,0.735,-0.061,0.147,guitar
2.06,0.805,-0.115,-0.075,guitar
2.08,0.863,-0.18,-0.225,guitar
2.1,0.848,-0.217,-0.287,guitar
2.12,0.705,-0.234,-0.32,guitar
2.14,0.611,-0.26,-0.387,guitar
2.16,0.565,-0.292,-0.415,guitar
2.18,0.55,-0.263,-0.411,guitar
2.2,0.476,-0.231,-0.418,guitar
2.22,0.388,-0.218,-0.423,guitar
2.24,0.376,-0.192,-0.452,guitar
2.26,0.431,-0.141,-0.511,guitar
2.28,0.463,-0.102,-0.552,guitar
2.3,0.425,-0.033,-0.523,guitar
2.32,0.542,0.071,-0.38,guitar
2.34,1.154,0.054,-0.18,guitar
2.36,2,0.015,-0.232,guitar
2.38,2,-0.168,-0.909,guitar
2.4,1.198,-0.387,-1.551,guitar
2.42,1.469,0.335,-0.321,guitar
2.44,0.964,-0.255,-0.05,guitar
2.46,-1.362,0.191,0.393,guitar
2.48,0.045,0.427,1.175,guitar
