time,x-acceleration,y-acceleration,z-acceleration,output
19.02,0.867,0.061,0.559,guitar
19.04,0.904,0.05,0.579,guitar
19.06,0.887,0.035,0.545,guitar
19.08,0.872,0.05,0.502,guitar
19.1,0.857,0.058,0.49,guitar
19.12,0.876,0.053,0.481,guitar
19.14,0.885,0.05,0.463,guitar
19.16,0.891,0.053,0.441,guitar
19.18,0.877,0.056,0.443,guitar
19.2,0.879,0.052,0.459,guitar
19.22,0.863,0.058,0.45,guitar
19.24,0.871,0.057,0.464,guitar
19.26,0.856,0.064,0.472,guitar
19.28,0.893,0.062,0.488,guitar
19.3,0.917,0.035,0.514,guitar
19.32,0.865,0.034,0.507,guitar
19.34,0.82,0.047,0.489,guitar
19.36,0.864,0.027,0.503,guitar
19.38,0.87,0.039,0.514,guitar
19.4,0.824,0.058,0.499,guitar
19.42,0.853,0.052,0.491,guitar
19.44,0.855,0.061,0.461,guitar
19.46,0.9,0.045,0.433,guitar
19.48,0.959,0.032,0.498,guitar
19.5,0.836,0.048,0.479,guitar
19.52,0.76,0.068,0.459,guitar
19.54,0.87,0.073,0.472,guitar
19.56,0.891,0.077,0.448,guitar
19.58,0.92,0.075,0.476,guitar
19.6,0.901,0.042,0.539,guitar
19.62,0.842,0.034,0.555,guitar
19.64,0.891,0.014,0.558,guitar
19.66,0.896,0.011,0.614,guitar
19.68,0.804,0.075,0.584,guitar
19.7,0.768,0.093,0.518,guitar
19.72,0.84,0.067,0.511,guitar
19.74,0.882,0.049,0.502,guitar
19.76,0.9,0.054,0.508,guitar
19.78,0.886,0.061,0.511,guitar
19.8,0.85,0.07,0.524,guitar
19.82,0.833,0.072,0.539,guitar
19.84,0.812,0.077,0.522,guitar
19.86,0.821,0.092,0.507,guitar
19.88,0.874,0.066,0.513,guitar
19.9,0.848,0.076,0.504,guitar
19.92,0.861,0.096,0.55,guitar
19.94,0.831,0.083,0.545,guitar
19.96,0.795,0.082,0.518,guitar
19.98,0.884,0.057,0.554,guitar
20,0.895,0.047,0.571,guitar
20.02,0.847,0.045,0.556,guitar
20.04,0.868,0.035,0.55,guitar
20.06,0.864,0.041,0.548,guitar
20.08,0.831,0.06,0.539,guitar
20.1,0.828,0.067,0.541,guitar
20.12,0.837,0.07,0.543,guitar
20.14,0.835,0.078,0.551,guitar
20.16,0.832,0.077,0.542,guitar
20.18,0.851,0.066,0.53,guitar
20.2,0.867,0.056,0.534,guitar
20.22,0.875,0.054,0.532,guitar
20.24,0.854,0.059,0.512,guitar
20.26,0.841,0.059,0.496,guitar
20.28,0.851,0.057,0.491,guitar
20.3,0.873,0.055,0.501,guitar
20.32,0.854,0.055,0.499,guitar
20.34,0.815,0.063,0.492,guitar
20.36,0.797,0.061,0.482,guitar
20.38,0.801,0.058,0.474,guitar
20.4,0.844,0.065,0.475,guitar
20.42,0.89,0.057,0.478,guitar
20.44,0.927,0.05,0.436,guitar
20.46,0.931,0.06,0.403,guitar
20.48,0.968,0.049,0.358,guitar
20.5,0.946,0.039,0.304,guitar
20.52,0.921,0.046,0.264,guitar
20.54,0.937,0.05,0.242,guitar
20.56,0.971,0.062,0.236,guitar
20.58,0.989,0.069,0.24,guitar
20.6,0.981,0.063,0.238,guitar
20.62,0.973,0.068,0.24,guitar
20.64,1.004,0.061,0.229,guitar
20.66,0.982,0.056,0.201,guitar
20.68,0.964,0.061,0.188,guitar
20.7,0.961,0.061,0.168,guitar
20.72,0.967,0.053,0.166,guitar
20.74,0.957,0.048,0.148,guitar
20.76,0.935,0.05,0.144,guitar
20.78,0.907,0.052,0.129,guitar
20.8,0.886,0.056,0.106,guitar
20.82,0.9,0.054,0.087,guitar
20.84,1.014,0.053,0.098,guitar
20.86,1.138,0.043,0.154,guitar
20.88,1.32,0.021,0.247,guitar
