time,x-acceleration,y-acceleration,z-acceleration,output
40.02,0.609,0.239,0.758,piano
40.04,0.611,0.239,0.754,piano
40.06,0.631,0.241,0.761,piano
40.08,0.636,0.247,0.764,piano
40.1,0.619,0.247,0.759,piano
40.12,0.609,0.246,0.755,piano
40.14,0.613,0.252,0.761,piano
40.16,0.61,0.263,0.754,piano
40.18,0.613,0.27,0.742,piano
40.2,0.61,0.275,0.738,piano
40.22,0.631,0.273,0.74,piano
40.24,0.649,0.261,0.739,piano
40.26,0.654,0.256,0.734,piano
40.28,0.645,0.265,0.736,piano
40.3,0.615,0.277,0.733,piano
40.32,0.584,0.282,0.724,piano
40.34,0.583,0.285,0.723,piano
40.36,0.598,0.284,0.727,piano
40.38,0.6,0.274,0.734,piano
40.4,0.615,0.271,0.74,piano
40.42,0.64,0.268,0.746,piano
40.44,0.648,0.27,0.75,piano
40.46,0.639,0.262,0.746,piano
40.48,0.635,0.261,0.743,piano
40.5,0.648,0.267,0.756,piano
40.52,0.64,0.27,0.756,piano
40.54,0.629,0.272,0.745,piano
40.56,0.623,0.28,0.749,piano
40.58,0.626,0.286,0.751,piano
40.6,0.648,0.292,0.744,piano
40.62,0.635,0.295,0.75,piano
40.64,0.609,0.287,0.749,piano
40.66,0.577,0.29,0.74,piano
40.68,0.61,0.294,0.734,piano
40.7,0.626,0.293,0.745,piano
40.72,0.604,0.287,0.74,piano
40.74,0.595,0.285,0.741,piano
40.76,0.599,0.283,0.749,piano
40.78,0.611,0.278,0.762,piano
40.8,0.607,0.274,0.756,piano
40.82,0.616,0.267,0.746,piano
40.84,0.617,0.265,0.753,piano
40.86,0.626,0.264,0.755,piano
40.88,0.622,0.264,0.75,piano
40.9,0.605,0.261,0.747,piano
40.92,0.601,0.259,0.741,piano
40.94,0.622,0.258,0.734,piano
40.96,0.62,0.258,0.733,piano
40.98,0.604,0.26,0.744,piano
41,0.609,0.261,0.761,piano
41.02,0.61,0.259,0.774,piano
41.04,0.601,0.253,0.775,piano
41.06,0.616,0.244,0.8,piano
41.08,0.624,0.233,0.861,piano
41.1,0.633,0.221,0.952,piano
41.12,0.665,0.198,1.065,piano
41.14,0.653,0.184,1.141,piano
41.16,0.654,0.171,1.159,piano
41.18,0.781,0.18,1.139,piano
41.2,0.934,0.196,1.092,piano
41.22,1.029,0.185,1.029,piano
41.24,0.969,0.18,0.95,piano
41.26,0.875,0.168,0.89,piano
41.28,0.818,0.159,0.846,piano
41.3,0.751,0.142,0.798,piano
41.32,0.7,0.116,0.744,piano
41.34,0.676,0.094,0.679,piano
41.36,0.645,0.048,0.641,piano
41.38,0.63,0.022,0.613,piano
41.4,0.591,0.004,0.574,piano
41.42,0.531,-0.031,0.551,piano
41.44,0.472,-0.073,0.531,piano
41.46,0.399,-0.113,0.503,piano
41.48,0.404,-0.138,0.498,piano
41.5,0.425,-0.148,0.493,piano
41.52,0.379,-0.165,0.47,piano
41.54,0.311,-0.189,0.427,piano
41.56,0.238,-0.201,0.348,piano
41.58,0.241,-0.182,0.27,piano
41.6,0.321,-0.16,0.202,piano
41.62,0.308,-0.159,0.082,piano
41.64,0.087,-0.157,-0.116,piano
41.66,-0.125,-0.119,-0.268,piano
41.68,-0.098,-0.043,-0.18,piano
41.7,0.064,0.063,0.185,piano
41.72,0.227,-0.004,0.745,piano
41.74,0.741,0.1,1.399,piano
41.76,0.26,0.511,1.307,piano
41.78,0.647,0.974,1.242,piano
41.8,2,0.893,1.976,piano
41.82,1.216,0.528,2,piano
41.84,0.149,0.245,1.76,piano
41.86,0.296,-0.032,0.879,piano
41.88,0.312,0.138,0.518,piano
41.9,0.245,0.203,0.571,piano
41.92,0.385,0.282,0.668,piano
41.94,0.496,0.369,0.751,piano
41.96,0.509,0.423,0.825,piano
41.98,0.48,0.387,0.854,piano
42,0.405,0.305,0.838,piano
42.02,0.354,0.271,0.822,piano
42.04,0.385,0.259,0.848,piano
42.06,0.425,0.258,0.896,piano
42.08,0.432,0.256,0.941,piano
42.1,0.419,0.242,0.997,piano
42.12,0.395,0.227,1.065,piano
42.14,0.356,0.201,1.145,piano
42.16,0.332,0.194,1.284,piano
42.18,0.376,0.216,1.371,piano
42.2,0.533,0.224,1.359,piano
42.22,0.61,0.234,1.349,piano
42.24,0.63,0.221,1.369,piano
42.26,0.584,0.196,1.312,piano
42.28,0.602,0.172,1.21,piano
42.3,0.584,0.155,1.088,piano
42.32,0.543,0.129,0.93,piano
42.34,0.548,0.096,0.827,piano
42.36,0.587,0.062,0.718,piano
42.38,0.528,0.009,0.599,piano
42.4,0.432,-0.039,0.544,piano
42.42,0.376,-0.076,0.517,piano
42.44,0.305,-0.12,0.456,piano
42.46,0.29,-0.159,0.413,piano
42.48,0.255,-0.199,0.378,piano
42.5,0.212,-0.219,0.342,piano
42.52,0.167,-0.225,0.288,piano
42.54,0.162,-0.228,0.233,piano
42.56,0.157,-0.22,0.148,piano
42.58,0.042,-0.206,0.047,piano
42.6,-0.011,-0.155,-0.01,piano
42.62,0.022,-0.071,-0.007,piano
42.64,0.082,0.005,0.127,piano
42.66,0.049,0.036,0.274,piano
42.68,0.007,0.036,0.37,piano
42.7,0.371,0.154,0.945,piano
42.72,0.983,0.422,1.701,piano
42.74,0.632,0.595,1.641,piano
42.76,0.54,1.029,1.481,piano
42.78,1.855,0.842,1.932,piano
42.8,1.089,-0.175,2,piano
42.82,0.098,0.166,1.227,piano
42.84,0.487,0.109,0.618,piano
42.86,0.345,0.174,0.552,piano
42.88,0.379,0.276,0.626,piano
42.9,0.591,0.328,0.764,piano
42.92,0.579,0.398,0.861,piano
42.94,0.426,0.386,0.878,piano
42.96,0.377,0.323,0.879,piano
42.98,0.438,0.288,0.861,piano
43,0.458,0.25,0.823,piano
43.02,0.469,0.244,0.825,piano
43.04,0.473,0.27,0.862,piano
43.06,0.481,0.287,0.927,piano
43.08,0.488,0.273,0.955,piano
43.1,0.491,0.239,0.952,piano
43.12,0.459,0.215,0.997,piano
43.14,0.404,0.226,1.101,piano
43.16,0.507,0.232,1.251,piano
