time,x-acceleration,y-acceleration,z-acceleration,output
0,0.598,0.179,0.778,piano
0.02,0.601,0.178,0.784,piano
0.04,0.599,0.178,0.785,piano
0.06,0.602,0.181,0.785,piano
0.08,0.603,0.182,0.783,piano
0.1,0.604,0.186,0.782,piano
0.12,0.612,0.192,0.778,piano
0.14,0.593,0.192,0.781,piano
0.16,0.592,0.192,0.781,piano
0.18,0.606,0.194,0.78,piano
0.2,0.608,0.189,0.777,piano
0.22,0.604,0.187,0.78,piano
0.24,0.599,0.191,0.784,piano
0.26,0.601,0.193,0.782,piano
0.28,0.595,0.191,0.783,piano
0.3,0.586,0.19,0.782,piano
0.32,0.591,0.19,0.781,piano
0.34,0.595,0.186,0.776,piano
0.36,0.604,0.184,0.774,piano
0.38,0.611,0.185,0.773,piano
0.4,0.614,0.188,0.775,piano
0.42,0.618,0.189,0.771,piano
0.44,0.619,0.19,0.768,piano
0.46,0.619,0.189,0.771,piano
0.48,0.613,0.188,0.777,piano
0.5,0.607,0.186,0.779,piano
0.52,0.606,0.183,0.783,piano
0.54,0.602,0.18,0.785,piano
0.56,0.603,0.178,0.783,piano
0.58,0.609,0.177,0.775,piano
0.6,0.613,0.177,0.772,piano
0.62,0.626,0.179,0.77,piano
0.64,0.633,0.184,0.767,piano
0.66,0.637,0.184,0.764,piano
0.68,0.634,0.185,0.761,piano
0.7,0.629,0.186,0.756,piano
0.72,0.636,0.193,0.753,piano
0.74,0.633,0.2,0.75,piano
0.76,0.634,0.202,0.753,piano
0.78,0.634,0.2,0.75,piano
0.8,0.629,0.195,0.754,piano
0.82,0.627,0.187,0.758,piano
0.84,0.628,0.186,0.766,piano
0.86,0.624,0.182,0.77,piano
0.88,0.619,0.178,0.767,piano
0.9,0.616,0.173,0.764,piano
0.92,0.615,0.169,0.765,piano
0.94,0.619,0.166,0.767,piano
0.96,0.627,0.173,0.767,piano
0.98,0.628,0.181,0.767,piano
1,0.626,0.187,0.768,piano
1.02,0.625,0.189,0.765,piano
1.04,0.624,0.189,0.761,piano
1.06,0.627,0.188,0.758,piano
1.08,0.626,0.183,0.761,piano
1.1,0.622,0.177,0.767,piano
1.12,0.619,0.173,0.77,piano
1.14,0.615,0.174,0.77,piano
1.16,0.618,0.174,0.767,piano
1.18,0.621,0.174,0.764,piano
1.2,0.621,0.174,0.768,piano
1.22,0.623,0.174,0.772,piano
1.24,0.624,0.175,0.769,piano
1.26,0.625,0.174,0.765,piano
1.28,0.627,0.177,0.766,piano
1.3,0.63,0.181,0.765,piano
1.32,0.63,0.182,0.766,piano
1.34,0.624,0.183,0.765,piano
1.36,0.623,0.182,0.763,piano
1.38,0.624,0.186,0.761,piano
1.4,0.625,0.185,0.762,piano
1.42,0.629,0.185,0.762,piano
1.44,0.627,0.185,0.761,piano
1.46,0.623,0.185,0.763,piano
1.48,0.624,0.184,0.763,piano
1.5,0.627,0.182,0.764,piano
1.52,0.628,0.178,0.765,piano
1.54,0.631,0.173,0.765,piano
1.56,0.63,0.172,0.765,piano
1.58,0.63,0.174,0.764,piano
1.6,0.629,0.177,0.765,piano
1.62,0.623,0.178,0.768,piano
1.64,0.619,0.179,0.769,piano
1.66,0.633,0.177,0.781,piano
1.68,0.681,0.195,0.813,piano
1.7,0.683,0.2,0.842,piano
1.72,0.639,0.169,0.874,piano
1.74,0.64,0.153,0.899,piano
1.76,0.639,0.136,0.901,piano
1.78,0.593,0.131,0.892,piano
1.8,0.563,0.18,0.981,piano
1.82,0.692,0.179,1.123,piano
1.84,0.739,0.205,1.209,piano
1.86,0.633,0.211,1.185,piano
1.88,0.703,0.224,1.179,piano
1.9,0.779,0.294,1.161,piano
1.92,0.73,0.269,1.09,piano
1.94,0.805,0.189,1.009,piano
1.96,0.897,0.143,0.922,piano
1.98,0.79,0.094,0.801,piano
2,0.666,0.028,0.712,piano
2.02,0.574,-0.022,0.649,piano
2.04,0.45,-0.089,0.569,piano
2.06,0.341,-0.159,0.478,piano
2.08,0.281,-0.212,0.4,piano
2.1,0.279,-0.259,0.347,piano
2.12,0.249,-0.305,0.305,piano
2.14,0.242,-0.328,0.271,piano
2.16,0.244,-0.335,0.237,piano
2.18,0.234,-0.321,0.181,piano
2.2,0.182,-0.316,0.118,piano
2.22,0.21,-0.278,0.083,piano
2.24,0.167,-0.234,0.017,piano
2.26,0.036,-0.207,-0.045,piano
2.28,-0.074,-0.112,0.007,piano
2.3,-0.052,0.002,0.13,piano
2.32,0.097,0.08,0.318,piano
2.34,0.054,0.12,0.444,piano
2.36,1.324,1,0.977,piano
2.38,1.692,1.537,2,piano
2.4,0.427,-0.249,1.973,piano
2.42,-0.238,-0.074,1.139,piano
2.44,0.444,-0.105,0.379,piano
2.46,0.119,-0.039,0.05,piano
2.48,0.408,0.058,0.179,piano
2.5,0.561,0.163,0.434,piano
2.52,0.514,0.204,0.703,piano
2.54,0.387,0.221,1.067,piano
2.56,0.32,0.257,1.219,piano
2.58,0.399,0.211,1.142,piano
2.6,0.424,0.137,0.979,piano
2.62,0.514,0.119,0.874,piano
2.64,0.579,0.13,0.879,piano
2.66,0.508,0.128,0.901,piano
2.68,0.408,0.143,0.937,piano
2.7,0.384,0.165,0.956,piano
2.72,0.408,0.169,0.941,piano
2.74,0.462,0.156,0.922,piano
2.76,0.542,0.155,0.945,piano
2.78,0.563,0.14,0.998,piano
2.8,0.524,0.118,1.068,piano
2.82,0.455,0.094,1.114,piano
2.84,0.436,0.063,1.132,piano
2.86,0.452,0.044,1.16,piano
2.88,0.44,0.074,1.208,piano
2.9,0.517,0.103,1.259,piano
2.92,0.516,0.13,1.254,piano
2.94,0.395,0.129,1.224,piano
2.96,0.403,0.135,1.148,piano
2.98,0.495,0.136,1.028,piano
3,0.729,0.181,0.908,piano
3.02,0.813,0.233,0.77,piano
3.04,0.779,0.205,0.672,piano
3.06,0.752,0.168,0.642,piano
3.08,0.618,0.087,0.629,piano
3.1,0.508,-0.012,0.641,piano
3.12,0.45,-0.09,0.645,piano
3.14,0.364,-0.155,0.615,piano
3.16,0.295,-0.207,0.565,piano
3.18,0.301,-0.23,0.491,piano
3.2,0.297,-0.264,0.388,piano
3.22,0.248,-0.302,0.302,piano
3.24,0.199,-0.323,0.268,piano
3.26,0.183,-0.309,0.237,piano
3.28,0.145,-0.305,0.18,piano
3.3,0.142,-0.266,0.15,piano
3.32,0.056,-0.198,0.131,piano
3.34,-0.053,-0.172,0.114,piano
3.36,0.005,-0.108,0.158,piano
3.38,0.144,-0.116,0.336,piano
3.4,-0.031,0.007,0.462,piano
3.42,-0.15,0.213,0.195,piano
3.44,1.187,1.416,1.458,piano
3.46,0.804,0.56,2,piano
3.48,-0.071,0.015,1.793,piano
3.5,0.03,-0.062,0.783,piano
3.52,0.419,-0.051,0.265,piano
3.54,0.271,0.087,0.265,piano
3.56,0.506,0.202,0.537,piano
3.58,0.481,0.274,0.876,piano
3.6,0.285,0.195,1.115,piano
3.62,0.157,0.195,1.164,piano
3.64,0.245,0.184,1.049,piano
3.66,0.37,0.148,0.876,piano
3.68,0.409,0.148,0.81,piano
3.7,0.391,0.145,0.855,piano
3.72,0.371,0.138,0.912,piano
3.74,0.342,0.149,1.002,piano
3.76,0.316,0.159,1.055,piano
3.78,0.296,0.166,1.069,piano
3.8,0.306,0.148,1.067,piano
3.82,0.336,0.134,1.09,piano
3.84,0.384,0.116,1.163,piano
3.86,0.424,0.124,1.277,piano
3.88,0.34,0.1,1.326,piano
3.9,0.249,0.043,1.319,piano
3.92,0.285,0.062,1.252,piano
3.94,0.435,0.124,1.137,piano
3.96,0.453,0.183,1.053,piano
3.98,0.475,0.153,1.003,piano
4,0.598,0.158,1.014,piano
4.02,0.666,0.126,1.008,piano
4.04,0.6,0.062,0.94,piano
4.06,0.518,0.019,0.868,piano
4.08,0.45,-0.029,0.786,piano
4.1,0.396,-0.081,0.713,piano
4.12,0.411,-0.105,0.67,piano
4.14,0.394,-0.149,0.605,piano
4.16,0.319,-0.208,0.536,piano
4.18,0.286,-0.238,0.482,piano
4.2,0.213,-0.293,0.428,piano
4.22,0.215,-0.324,0.398,piano
4.24,0.229,-0.342,0.37,piano
4.26,0.203,-0.35,0.33,piano
4.28,0.104,-0.353,0.245,piano
4.3,0.074,-0.343,0.161,piano
4.32,0.161,-0.273,0.12,piano
4.34,0.128,-0.23,0.058,piano
4.36,0.088,-0.156,0.095,piano
4.38,0.043,-0.052,0.316,piano
4.4,-0.101,-0.024,0.689,piano
4.42,0.111,0.101,0.699,piano
4.44,0.245,0.178,0.045,piano
4.46,1.273,1.178,1.155,piano
4.48,1.462,0.803,2,piano
4.5,-0.239,0.219,1.761,piano
4.52,-0.151,-0.219,0.612,piano
4.54,0.323,-0.033,0.251,piano
4.56,0.304,0.105,0.258,piano
4.58,0.56,0.224,0.481,piano
4.6,0.467,0.243,0.858,piano
4.62,0.172,0.146,1.112,piano
4.64,0.169,0.171,1.247,piano
4.66,0.332,0.201,1.113,piano
4.68,0.417,0.172,0.882,piano
4.7,0.425,0.174,0.806,piano
4.72,0.403,0.171,0.845,piano
4.74,0.348,0.146,0.931,piano
4.76,0.293,0.13,1.09,piano
4.78,0.294,0.159,1.254,piano
4.8,0.304,0.148,1.297,piano
4.82,0.303,0.114,1.27,piano
4.84,0.307,0.1,1.302,piano
4.86,0.382,0.117,1.29,piano
4.88,0.438,0.14,1.222,piano
4.9,0.36,0.18,1.068,piano
4.92,0.417,0.19,0.976,piano
4.94,0.575,0.162,1.012,piano
4.96,0.653,0.107,1.027,piano
4.98,0.652,0.029,0.98,piano
5,0.555,0.01,0.901,piano
5.02,0.437,-0.026,0.787,piano
5.04,0.411,-0.068,0.693,piano
5.06,0.513,-0.105,0.688,piano
5.08,0.544,-0.167,0.687,piano
5.1,0.502,-0.213,0.669,piano
5.12,0.398,-0.243,0.62,piano
5.14,0.268,-0.294,0.536,piano
5.16,0.237,-0.323,0.472,piano
5.18,0.266,-0.339,0.445,piano
5.2,0.309,-0.347,0.455,piano
5.22,0.283,-0.356,0.463,piano
5.24,0.221,-0.368,0.435,piano
5.26,0.153,-0.381,0.353,piano
5.28,0.168,-0.354,0.31,piano
5.3,0.207,-0.293,0.286,piano
5.32,0.168,-0.235,0.18,piano
5.34,0.101,-0.173,0.107,piano
5.36,0.074,-0.124,0.25,piano
