time,x-acceleration,y-acceleration,z-acceleration,output
0,0,0,0,unknown
0.02,-0.462,0.007,0.881,unknown
0.04,-0.46,0,0.887,unknown
0.06,-0.456,-0.002,0.885,unknown
0.08,-0.456,-0.004,0.878,unknown
0.1,-0.454,-0.008,0.883,unknown
0.12,-0.456,-0.006,0.887,unknown
0.14,-0.455,-0.009,0.884,unknown
0.16,-0.466,0.004,0.875,unknown
0.18,-0.468,0.006,0.869,unknown
0.2,-0.467,0.005,0.874,unknown
0.22,-0.464,0.002,0.882,unknown
0.24,-0.464,-0.006,0.878,unknown
0.26,-0.462,-0.011,0.876,unknown
0.28,-0.464,-0.007,0.871,unknown
0.3,-0.464,0.005,0.878,unknown
0.32,-0.461,0.013,0.89,unknown
0.34,-0.462,0.013,0.888,unknown
0.36,-0.462,0.013,0.878,unknown
0.38,-0.463,0.011,0.886,unknown
0.4,-0.464,0.007,0.888,unknown
0.42,-0.467,0.014,0.881,unknown
0.44,-0.469,0.02,0.886,unknown
0.46,-0.466,0.014,0.884,unknown
0.48,-0.465,0.007,0.881,unknown
0.5,-0.467,0.008,0.875,unknown
0.52,-0.469,0.006,0.875,unknown
0.54,-0.469,0.004,0.874,unknown
0.56,-0.463,0,0.854,unknown
0.58,-0.477,-0.039,0.874,unknown
0.6,-0.463,-0.029,0.959,unknown
0.62,-0.455,-0.013,0.976,unknown
0.64,-0.5,-0.02,0.945,unknown
0.66,-0.431,-0.072,0.881,unknown
0.68,-0.308,-0.122,0.868,unknown
0.7,-0.327,-0.145,0.964,unknown
0.72,-0.279,-0.022,0.923,unknown
0.74,-0.201,-0.023,0.903,unknown
0.76,-0.127,-0.157,0.925,unknown
0.78,-0.149,-0.203,0.981,unknown
0.8,-0.098,-0.141,1.034,unknown
0.82,-0.108,-0.138,1.031,unknown
0.84,-0.11,0.095,1.04,unknown
0.86,-0.384,0.16,1.143,unknown
0.88,-0.417,0.145,0.894,unknown
0.9,-0.431,0.12,0.712,unknown
0.92,-0.416,0.102,0.78,unknown
0.94,-0.675,0.198,0.664,unknown
0.96,-0.768,0.134,0.71,unknown
0.98,-0.718,0.314,0.514,unknown
1,-0.747,0.392,0.588,unknown
1.02,-0.835,0.433,0.599,unknown
