time,x-acceleration,y-acceleration,z-acceleration,output
0,0,0,0,unknown
0.02,0,0,0,unknown
0.04,0.269,-0.79,0.554,unknown
0.06,0.269,-0.79,0.554,unknown
0.08,0.269,-0.79,0.554,unknown
0.1,0.272,-0.797,0.558,unknown
0.12,0.272,-0.797,0.558,unknown
0.14,0.272,-0.797,0.558,unknown
0.16,0.27,-0.798,0.557,unknown
0.18,0.27,-0.798,0.557,unknown
0.2,0.27,-0.798,0.557,unknown
0.22,0.27,-0.801,0.559,unknown
0.24,0.27,-0.801,0.559,unknown
0.26,0.27,-0.801,0.559,unknown
0.28,0.271,-0.798,0.557,unknown
0.3,0.271,-0.798,0.557,unknown
0.32,0.271,-0.798,0.557,unknown
0.34,0.27,-0.797,0.557,unknown
0.36,0.27,-0.797,0.557,unknown
0.38,0.27,-0.797,0.557,unknown
0.4,0.267,-0.798,0.558,unknown
0.42,0.267,-0.798,0.558,unknown
0.44,0.267,-0.798,0.558,unknown
0.46,0.266,-0.798,0.559,unknown
0.48,0.266,-0.798,0.559,unknown
0.5,0.266,-0.798,0.559,unknown
0.52,0.267,-0.798,0.559,unknown
0.54,0.267,-0.798,0.559,unknown
0.56,0.267,-0.798,0.559,unknown
0.58,0.269,-0.798,0.559,unknown
0.6,0.269,-0.798,0.559,unknown
0.62,0.269,-0.798,0.559,unknown
0.64,0.269,-0.798,0.558,unknown
0.66,0.269,-0.798,0.558,unknown
0.68,0.269,-0.798,0.558,unknown
0.7,0.27,-0.798,0.558,unknown
0.72,0.27,-0.798,0.558,unknown
0.74,0.27,-0.798,0.558,unknown
0.76,0.268,-0.799,0.558,unknown
0.78,0.268,-0.799,0.558,unknown
0.8,0.268,-0.799,0.558,unknown
0.82,0.269,-0.799,0.559,unknown
0.84,0.269,-0.799,0.559,unknown
0.86,0.269,-0.799,0.559,unknown
0.88,0.269,-0.799,0.557,unknown
0.9,0.269,-0.799,0.557,unknown
0.92,0.269,-0.799,0.557,unknown
0.94,0.266,-0.8,0.558,unknown
0.96,0.266,-0.8,0.558,unknown
0.98,0.266,-0.8,0.558,unknown
1,0.266,-0.799,0.56,unknown
1.02,0.266,-0.799,0.56,unknown
1.04,0.266,-0.799,0.56,unknown
1.06,0.268,-0.8,0.557,unknown
1.08,0.268,-0.8,0.557,unknown
1.1,0.268,-0.8,0.557,unknown
1.12,0.271,-0.798,0.557,unknown
1.14,0.271,-0.798,0.557,unknown
1.16,0.271,-0.798,0.557,unknown
1.18,0.268,-0.799,0.557,unknown
1.2,0.268,-0.799,0.557,unknown
